region,config,seed,eval_source,eval_label,lead_hours,present,target,model,train_loss,head,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,42,eval_aurora_lead24h,Aurora +24h,24,True,t2m,tessera,crps,gaussian,t2m,31,0.7570949361544765,1.950471043586731,0.8702936768531799,1.1942074298858643,1.6833701133728027,0.12616457045078278,0.983462116623562,1.153815746307373,57.986206411792665,87.23381822320107,101219.79595463948,0.0,0.8571844100952148,2.637848377227783,3.452409505844116,5.491122245788574,1195048,898,1.2194489154937753,1.1726421187347735,1.2547326484749868,1.1275707542707658
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,42,eval_aurora_lead72h,Aurora +72h,72,True,t2m,tessera,crps,gaussian,t2m,31,0.7570949361544765,2.5652048587799072,1.0834901332855225,1.4517937898635864,1.9817999601364136,-0.019117876887321472,0.9770412053727277,1.1507010459899902,48.286177626338024,78.50739049812225,340890.83942737035,0.0,1.088968276977539,3.149359703063965,4.029780387878418,6.213964939117432,1195048,898,1.4980779615643194,1.4049619204665755,1.5367631666451134,1.3629124467114482
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,456,eval_era5,ERA5,0,True,t2m,tessera,crps,gaussian,t2m,29,0.7586491003428419,1.7529364824295044,0.7879403233528137,1.0866764783859253,1.5724912881851196,0.08476027101278305,0.9854823721062883,1.1656373739242554,64.01793066052576,91.0577650437472,23412.50620560848,0.0,0.7514328956604004,2.4362521171569824,3.2424402236938477,5.307989120483398,1195048,898,1.1031063556777232,1.073523437973824,1.1301194093847955,1.038377201347968
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,456,eval_aurora_lead6h,Aurora +6h,6,True,t2m,tessera,crps,gaussian,t2m,29,0.7586491003428419,1.8246474266052246,0.819471001625061,1.1295288801193237,1.6129869222640991,0.05174684897065163,0.9846827343737837,1.1577563285827637,61.30975492197803,89.71120825272291,44175.485700992765,0.0,0.7967000007629395,2.5132791996002197,3.3093812465667725,5.355302810668945,1195048,898,1.1422205745381049,1.1147122105711855,1.1807085569929994,1.07952727101285
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,456,eval_aurora_lead24h,Aurora +24h,24,True,t2m,tessera,crps,gaussian,t2m,29,0.7586491003428419,1.957211971282959,0.8699952363967896,1.1921238899230957,1.683774709701538,0.17555058002471924,0.9834923493136332,1.1444487571716309,57.87616899070163,87.11800697545203,111471.252833359,0.0,0.8530809879302979,2.6355671882629395,3.4490878582000732,5.517995357513428,1195048,898,1.218949851114044,1.1713157346742027,1.2424071016102682,1.1330634723502049
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,456,eval_aurora_lead72h,Aurora +72h,72,True,t2m,tessera,crps,gaussian,t2m,29,0.7586491003428419,2.558495044708252,1.0768983364105225,1.4416322708129883,1.9713472127914429,0.02896355278789997,0.9771918091526761,1.1420173645019531,48.49512320844016,78.55508732703623,333650.92143244453,0.0,1.080043077468872,3.128053665161133,4.00555944442749,6.183727264404297,1195048,898,1.4908636365500052,1.401114598327224,1.513049824031509,1.3563403349694
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd,123,eval_era5,ERA5,0,True,t2m,tessera,nll,gaussian,t2m,16,1.7538526653426967,1.714730978012085,0.805996835231781,1.121583342552185,1.6077029705047607,-0.05773989483714104,0.9848121722509388,1.4201719760894775,70.38462053407059,94.668080277947,12054.734919434197,0.0,0.7815985679626465,2.5133211612701416,3.326512336730957,5.377049446105957,1195048,898,1.131227513546118,1.1199909796608345,1.1721809010099236,1.0620269692360913
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd,123,eval_aurora_lead6h,Aurora +6h,6,True,t2m,tessera,nll,gaussian,t2m,16,1.7538526653426967,1.7726572751998901,0.8386583924293518,1.1689951419830322,1.6537450551986694,-0.08782514929771423,0.9839940881753446,1.4072502851486206,67.4765365073202,93.54101257857424,14165.873049450733,0.0,0.8319849967956543,2.5967917442321777,3.403406858444214,5.4418487548828125,1195048,898,1.171703666509785,1.1638766565425638,1.2344972138968389,1.1061857304164449
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd,123,eval_aurora_lead24h,Aurora +24h,24,True,t2m,tessera,nll,gaussian,t2m,16,1.7538526653426967,1.8600324392318726,0.8808366656303406,1.2240395545959473,1.7175049781799316,0.035745274275541306,0.9827728756596765,1.3900476694107056,64.3299683359999,91.6242694854098,17644.628212423268,0.0,0.8806463479995728,2.7060000896453857,3.53018856048584,5.603854179382324,1195048,898,1.2414656519619895,1.207686428134693,1.2943249773522143,1.1512655919169843
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd,123,eval_aurora_lead72h,Aurora +72h,72,True,t2m,tessera,nll,gaussian,t2m,16,1.7538526653426967,2.333371162414551,1.0807337760925293,1.476787805557251,2.0034737586975098,-0.10530291497707367,0.976730714115159,1.3847347497940063,54.39781498316386,84.07561871991753,174319.81719228014,0.0,1.116011381149292,3.193805456161499,4.07408332824707,6.222776412963867,1195048,898,1.5193938673742562,1.4299704528399515,1.5715030591088557,1.3824153140582465
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd,42,eval_era5,ERA5,0,True,t2m,tessera,nll,gaussian,t2m,23,1.7490757656424012,1.7063565254211426,0.7991597652435303,1.110399842262268,1.6001495122909546,0.09760741889476776,0.9849676251976462,1.4132463932037354,71.11998848581814,94.86598027861642,11255.971522482778,0.0,0.7685815095901489,2.497579574584961,3.3144140243530273,5.390120506286621,1195048,898,1.121781672196117,1.1002258614357352,1.1624846775709656,1.0562167025399098
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd,42,eval_aurora_lead6h,Aurora +6h,6,True,t2m,tessera,nll,gaussian,t2m,23,1.7490757656424012,1.7572671175003052,0.8283045887947083,1.1534004211425781,1.6417268514633179,0.0679987221956253,0.9841457708175824,1.4007487297058105,68.45373574952637,93.8927976114767,5389.613886638863,0.0,0.814518928527832,2.572368621826172,3.3813297748565674,5.444913864135742,1195048,898,1.160640005535299,1.1420782503162388,1.2146291664234985,1.0960485206185369
